State,March 2020(P),Historical High,,Historical Low,
,rate,Date,Rate,Date,Rate
Alabama,3.5,Dec. 1982,15.5,Feb. 2020,2.7
Alaska,5.6,Aug. 1986,11.2,Mar. 2020,5.6
Arizona,5.5,Dec. 1982,11.5,Jul-07,3.6
Arkansas,4.8,Feb. 1983,10.3,Feb. 2020,3.5
California,5.3,Nov. 2010,12.3,Feb. 2020,3.9
Colorado,4.5,Dec. 2010,8.9,Feb. 2020,2.5
Connecticut,3.7,Mar. 1976,9.8,Oct. 2000,2.2
Delaware,5.1,Dec. 1976,9.8,Jun-88,3
District of Columbia,6,Sept. 1983,11.3,Sept. 1989,4.8
Florida,4.3,Jan. 2010,11.3,Feb. 2020,2.8
Georgia,4.2,Dec. 2010,10.6,Feb. 2020,3.1
Hawaii,2.6,Mar. 1976,10.2,Nov. 2017,2.2
Idaho,2.6,Dec. 1982,10.2,Mar. 2020,2.6
Illinois,4.6,Feb. 1983,13.1,Feb. 2020,3.4
Indiana,3.2,Dec. 1982,12.6,Oct. 2000,2.9
Iowa,3.7,Jan. 1983,9.1,Mar. 2000,2.4
Kansas,3.1,Aug. 2009,7.3,Aug. 1978,2.9
Kentucky,5.8,Mar. 1983,12,Aug. 2000,4.1
Louisiana,6.9,Nov. 1986,13.1,Oct. 2007,4.1
Maine,3.2,Jan. 1977,9,Sept. 2019,2.9
Maryland,3.3,Mar. 1982,8.5,Mar. 2020,3.3
Massachusetts,2.9,Mar. 1976,10.3,Oct. 2000,2.6
Michigan,4.1,Dec. 1982,16.5,Mar. 2000,3.2
Minnesota,3.1,Jan. 1983,8.9,Feb. 1999,2.5
Mississippi,5.3,Apr. 1983,12.8,Aug. 2018,4.7
Missouri,4.5,Mar. 1983,10.6,Oct. 2018,3
Montana,3.5,May-83,8.8,Feb. 2007,2.9
Nebraska,4.2,Feb. 1983,6.3,Oct. 1990,2.3
Nevada,6.3,Nov. 2010,13.7,Feb. 2020,3.6
New Hampshire,2.6,Jul-92,7.4,Mar. 1988,2.2
New Jersey,3.8,Jan. 1977,10.7,Jul-19,3.3
New Mexico,5.9,Mar. 1983,10.5,Sept. 2007,3.7
New York,4.5,Feb. 1976,10.3,Feb. 2020,3.7
North Carolina,4.4,Mar. 2010,11.4,Apr. 1999,3
North Dakota,2.2,Feb. 1983,6.2,Mar. 2020,2.2
Ohio,5.5,Jan. 1983,14,Feb. 2001,3.7
Oklahoma,3.1,Apr. 1983,8.9,Dec. 2000,2.9
Oregon,3.3,May-09,11.9,Mar. 2020,3.3
Pennsylvania,6,Feb. 1983,12.7,May-00,4
Rhode Island,4.6,Aug. 2010,11.3,Jul-88,3
South Carolina,2.6,Jan. 1983,11.8,Jan. 2020,2.4
South Dakota,3.3,Jan. 1983,5.9,Jul-00,2.4
Tennessee,3.5,Jan. 1983,12.9,Jan. 2020,3.3
Texas,4.7,Nov. 1986,9.2,Jun-19,3.4
Utah,3.6,Mar. 1983,9.6,Dec. 2019,2.4
Vermont,3.2,Apr. 1976,8.7,May-19,2.3
Virginia,3.3,Dec. 1982,7.9,Nov. 2000,2.1
Washington,5.1,Nov. 1982,12.2,Feb. 2020,3.8
West Virginia,6.1,Feb. 1983,18.8,Jul-08,4
Wisconsin,3.4,Jan. 1983,11.9,Dec. 2018,3
Wyoming,3.7,Dec. 1986,9.4,May-79,2.5
