series_id,date,real,nominal
DJIA,1/1/1915,1448.1,56.54
DJIA,2/1/1915,1423.26,55.02
DJIA,3/1/1915,1589.43,60.83
DJIA,4/1/1915,1856.81,71.78
DJIA,5/1/1915,1665.04,65.01
DJIA,6/1/1915,1794.38,70.06
DJIA,7/1/1915,1934.47,75.53
DJIA,8/1/1915,2079.69,81.2
DJIA,9/1/1915,2319.93,90.58
DJIA,10/1/1915,2417.92,95.34
DJIA,11/1/1915,2428.77,96.71
DJIA,12/1/1915,2490.05,99.15
DJIA,1/1/1916,2253,90.58
DJIA,2/1/1916,2264.19,91.03
DJIA,3/1/1916,2297.31,93.25
DJIA,4/1/1916,2187.82,89.65
DJIA,5/1/1916,2219.36,91.8
DJIA,6/1/1916,2145.62,89.58
DJIA,7/1/1916,2137.72,89.25
DJIA,8/1/1916,2189.28,92.25
DJIA,9/1/1916,2417.32,103.73
DJIA,10/1/1916,2394.73,104.61
DJIA,11/1/1916,2383.69,105.97
DJIA,12/1/1916,2118.5,95
DJIA,1/1/1917,2109.86,95.43
DJIA,2/1/1917,1973.76,91.56
DJIA,3/1/1917,2084.99,96.72
DJIA,4/1/1917,1914.01,93.23
DJIA,5/1/1917,1967.95,97.38
DJIA,6/1/1917,1897.87,95.38
DJIA,7/1/1917,1854.18,91.75
DJIA,8/1/1917,1659.49,83.4
DJIA,9/1/1917,1623.21,83.46
DJIA,10/1/1917,1427.49,74.5
DJIA,11/1/1917,1392.05,72.65
DJIA,12/1/1917,1404.44,74.38
DJIA,1/1/1918,1474.46,79.8
DJIA,2/1/1918,1474.83,80.39
DJIA,3/1/1918,1411.83,76.41
DJIA,4/1/1918,1412,77.51
DJIA,5/1/1918,1392.95,78.08
DJIA,6/1/1918,1453.16,82.58
DJIA,7/1/1918,1391.55,81.23
DJIA,8/1/1918,1385.08,82.46
DJIA,9/1/1918,1395.19,84.68
DJIA,10/1/1918,1382.44,85.51
DJIA,11/1/1918,1284.36,80.93
DJIA,12/1/1918,1288.65,82.2
DJIA,1/1/1919,1263.72,80.61
DJIA,2/1/1919,1354.25,84.81
DJIA,3/1/1919,1401.43,88.85
DJIA,4/1/1919,1438.71,92.88
DJIA,5/1/1919,1614.78,105.5
DJIA,6/1/1919,1637.44,106.98
DJIA,7/1/1919,1593.15,107.16
DJIA,8/1/1919,1530.92,104.75
DJIA,9/1/1919,1619.16,111.42
DJIA,10/1/1919,1699.6,118.92
DJIA,11/1/1919,1450.32,103.72
DJIA,12/1/1919,1467.66,107.23
DJIA,1/1/1920,1396.73,104.21
DJIA,2/1/1920,1209.59,91.18
DJIA,3/1/1920,1350,102.81
DJIA,4/1/1920,1191.98,93.54
DJIA,5/1/1920,1152.86,91.81
DJIA,6/1/1920,1123.34,90.76
DJIA,7/1/1920,1080.07,86.85
DJIA,8/1/1920,1097.94,86.16
DJIA,9/1/1920,1072.88,82.95
DJIA,10/1/1920,1105.95,85.08
DJIA,11/1/1920,993.46,76.04
DJIA,12/1/1920,959.38,71.95
DJIA,1/1/1921,1036.51,76.13
DJIA,2/1/1921,1054.14,74.98
DJIA,3/1/1921,1070.87,75.76
DJIA,4/1/1921,1122.92,78.57
DJIA,5/1/1921,1073.33,73.44
DJIA,6/1/1921,1006.08,68.45
DJIA,7/1/1921,999.23,68.37
DJIA,8/1/1921,980.81,67.11
DJIA,9/1/1921,1050.7,71.08
DJIA,10/1/1921,1082.19,73.21
DJIA,11/1/1921,1149.22,77.3
DJIA,12/1/1921,1208.12,80.8
DJIA,1/1/1922,1244.38,81.3
DJIA,2/1/1922,1308.05,85.46
DJIA,3/1/1922,1379.38,89.05
DJIA,4/1/1922,1424,91.93
DJIA,5/1/1922,1487.5,96.03
DJIA,6/1/1922,1439.49,92.93
DJIA,7/1/1922,1494.38,97.05
DJIA,8/1/1922,1570.45,100.78
DJIA,9/1/1922,1513.42,97.12
DJIA,10/1/1922,1488.74,96.11
DJIA,11/1/1922,1457.42,94.65
DJIA,12/1/1922,1502.59,98.17
DJIA,1/1/1923,1500.23,97.43
DJIA,2/1/1923,1599.85,103.9
DJIA,3/1/1923,1582.45,102.77
DJIA,4/1/1923,1505.8,98.38
DJIA,5/1/1923,1492.79,97.53
DJIA,6/1/1923,1345.09,88.4
DJIA,7/1/1923,1307.04,86.91
DJIA,8/1/1923,1413.77,93.46
DJIA,9/1/1923,1322.98,87.97
DJIA,10/1/1923,1323.7,88.53
DJIA,11/1/1923,1380.67,92.34
DJIA,12/1/1923,1428.22,95.52
DJIA,1/1/1924,1505.07,100.66
DJIA,2/1/1924,1469.16,97.69
DJIA,3/1/1924,1395.92,92.28
DJIA,4/1/1924,1379.03,90.63
DJIA,5/1/1924,1367.92,89.9
DJIA,6/1/1924,1466.37,96.37
DJIA,7/1/1924,1545.07,102.14
DJIA,8/1/1924,1584.59,104.14
DJIA,9/1/1924,1560.5,103.16
DJIA,10/1/1924,1564.96,104.06
DJIA,11/1/1924,1670.83,111.1
DJIA,12/1/1924,1801.87,120.51
DJIA,1/1/1925,1846.42,123.49
DJIA,2/1/1925,1838.37,122.24
DJIA,3/1/1925,1745.65,116.75
DJIA,4/1/1925,1804.83,120.01
DJIA,5/1/1925,1943.01,129.95
DJIA,6/1/1925,1936.59,131.01
DJIA,7/1/1925,1955.63,133.81
DJIA,8/1/1925,2063.35,141.18
DJIA,9/1/1925,2096.67,143.46
DJIA,10/1/1925,2274.82,155.65
DJIA,11/1/1925,2171.17,151.08
DJIA,12/1/1925,2183.26,151.08
DJIA,1/1/1926,2273.86,157.35
DJIA,2/1/1926,2235.28,154.68
DJIA,3/1/1926,2041.16,140.46
DJIA,4/1/1926,2076.75,143.71
DJIA,5/1/1926,2084.32,143.43
DJIA,6/1/1926,2236.68,153.04
DJIA,7/1/1926,2367.78,160.18
DJIA,8/1/1926,2416.04,162.51
DJIA,9/1/1926,2338.36,158.19
DJIA,10/1/1926,2215.87,150.76
DJIA,11/1/1926,2287.98,156.55
DJIA,12/1/1926,2297.48,157.2
DJIA,1/1/1927,2312.05,156.41
DJIA,2/1/1927,2407.86,161.96
DJIA,3/1/1927,2393.52,160.08
DJIA,4/1/1927,2461.7,164.64
DJIA,5/1/1927,2571.4,172.96
DJIA,6/1/1927,2443.25,166.23
DJIA,7/1/1927,2712.29,181.4
DJIA,8/1/1927,2854.25,189.79
DJIA,9/1/1927,2954.37,197.59
DJIA,10/1/1927,2701.78,181.73
DJIA,11/1/1927,2963.64,198.21
DJIA,12/1/1927,3000.87,200.7
DJIA,1/1/1928,2969.32,198.59
DJIA,2/1/1928,2946.44,194.78
DJIA,3/1/1928,3243.99,214.45
DJIA,4/1/1928,3201.33,211.63
DJIA,5/1/1928,3305.72,219.81
DJIA,6/1/1928,3182.27,210.37
DJIA,7/1/1928,3267.43,216
DJIA,8/1/1928,3636.68,240.41
DJIA,9/1/1928,3549.31,237.38
DJIA,10/1/1928,3792.23,252.16
DJIA,11/1/1928,4412.14,293.38
DJIA,12/1/1928,4538.1,300
DJIA,1/1/1929,4802.97,317.51
DJIA,2/1/1929,4801.46,317.41
DJIA,3/1/1929,4699.46,308.85
DJIA,4/1/1929,4887.05,319.29
DJIA,5/1/1929,4525.39,297.41
DJIA,6/1/1929,5049.24,333.79
DJIA,7/1/1929,5198.81,347.7
DJIA,8/1/1929,5686.69,380.33
DJIA,9/1/1929,5135.26,343.45
DJIA,10/1/1929,4089.52,273.51
DJIA,11/1/1929,3572.78,238.95
DJIA,12/1/1929,3736.89,248.48
DJIA,1/1/1930,4041.03,267.14
DJIA,2/1/1930,4125.21,271.11
DJIA,3/1/1930,4379.05,286.1
DJIA,4/1/1930,4248.76,279.23
DJIA,5/1/1930,4210.22,275.07
DJIA,6/1/1930,3485.18,226.34
